date,site,who,transect,segment,vial_number,specimen_number,gross_ID,plant,notes,round,start_time,end_time,insect_subfamily,insect_genus,insect_species,fine_ID,tray_num,pollen
7/6/2016,Gothic Town,DRM,P1,1,D8,15064,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,DRM,P1,1,D9,15065,Other fly,Linum lewisii,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,DRM,P1,1,D10,15066,Other fly,Potentilla pulcherrima,,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_52,
7/6/2016,Gothic Town,DRM,P1,1,D11,15067,Wasps,Ligusticum porteri,Caught both in 1 sweep; both on flower,1,,,,,,Acalyptrates 3,,
7/6/2016,Gothic Town,DRM,P1,1,D11,15068,Other fly,Ligusticum porteri,Caught both in 1 sweep; both on flower,1,,,,,,Empididae,,
7/6/2016,Gothic Town,DRM,P5,7,D12,15069,Hemipteran,Potentilla pulcherrima,,1,,,,,,Cicadellidae,2016_24,
7/6/2016,Gothic Town,DRM,P5,7,D13,15070,Hemipteran,Potentilla pulcherrima,,1,,,,,,,2016_27,
7/6/2016,Gothic Town,DRM,P5,7,D14,15071,Other fly,Potentilla pulcherrima,,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_50,
7/6/2016,Gothic Town,DRM,P5,7,D15,15072,Other fly,Potentilla pulcherrima,,1,,,,,,,2016_72,
7/6/2016,Gothic Town,DRM,P5,7,D16,15073,Other fly,Mertensia ciliata,,1,,,Azeliinae,Thricops,,Thricops,2016_38,
7/6/2016,Gothic Town,DRM,P5,7,D17,15074,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,BB,P3,9,B1,15101,Other fly,Linum lewisii,1 fly visiting; 2 captured in vial,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P3,9,B2,15102,Other fly,Linum lewisii,"2 other flies both in B2, unclear which one corresponds to the data sheet, both pinned on the same specimen label",1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,9,B3,15103,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P3,9,B3,15104,Other fly,Linum lewisii,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,BB,P5,3,B4,15105,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,BB,P5,3,B5,15106,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P1,5,B6,15107,Small black solitary bee,Potentilla pulcherrima,Probably same individual as above,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,BB,P7,3,B7,15108,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P7,3,B8,15109,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P7,3,B9,15110,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P3,3,B10,15111,Other fly,Linum lewisii,Same vial as below,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P3,3,B10,15112,Other fly,Linum lewisii,Same vial as above,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P3,3,B11,15113,Small black solitary bee,Linum lewisii,,1,,,Halictinae,Lasioglossum,,Lasioglossum,,
7/6/2016,Gothic Town,BB,P3,3,B12,15114,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P3,3,B13,15115,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P3,3,B14,15116,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P3,3,B15,15117,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P3,3,B16,15118,Other fly,Linum lewisii,,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,BB,P3,10,B17,15119,Other fly,Linum lewisii,,1,,,,,,Hadromyia,,
7/6/2016,Gothic Town,BB,P5,6,B18,15120,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,BB,P1,8,B19,15121,Other fly,Potentilla pulcherrima,Same vial as below,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,BB,P1,8,B19,15122,Other fly,Potentilla pulcherrima,"Same vial as above, SPECIMEN MISSING",1,,,,,,,,
7/6/2016,Gothic Town,BB,P1,8,B20,15123,Other fly,Valeriana edulis,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,BB,P1,8,B21,15124,Small black solitary bee,Potentilla pulcherrima,Same individual as above?,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,BB,P1,8,B22,15125,Small black solitary bee,Potentilla pulcherrima,,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,ASM,P5,10,A1,15132,Other fly,Potentilla pulcherrima,,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_28,
7/6/2016,Gothic Town,ASM,P3,1,A2,15133,Other fly,Potentilla pulcherrima,Many more flies on L. lewisii flowers,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A2,15134,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A3,15135,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A4,15136,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A4,15137,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A5,15138,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A6,15139,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A7,15140,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A8,15141,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A9,15142,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A10,15143,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A11,15144,Other fly,Linum lewisii,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P3,1,A12,15145,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A13,15146,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A14,15147,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A15,15148,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,1,A16,15149,Other fly,Linum lewisii,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P3,1,A17,15150,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P7,10,A18,15151,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P7,10,A19,15152,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P7,10,A20,15153,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P7,4,A21,15154,Other fly,Linum lewisii,,1,,,,,,Therevidae,2016_28,
7/6/2016,Gothic Town,ASM,P7,4,A22,15155,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,6,A23,15156,Other fly,Ligusticum porteri,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,6,A24,15157,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P3,6,A25,15158,Other fly,Ligusticum porteri,Xylophagidae (?),1,,,,,,,2016_28,
7/6/2016,Gothic Town,ASM,P3,6,A26,15159,Other fly,Ligusticum porteri,prev. Hybotidae 2,1,,,,,,Empididae,2016_28,
7/6/2016,Gothic Town,ASM,P1,3,A27,15160,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P1,3,A28,15161,Other fly,Potentilla pulcherrima,,1,,,Heleomyzinae,Anorostoma,jersei,Anorostoma jersei,2016_28,
7/6/2016,Gothic Town,ASM,P1,3,A29,15162,Other fly,Potentilla pulcherrima,"2 specimens both flies from A29, both on same specimen label 15162",1,,,,,,,,
7/6/2016,Gothic Town,ASM,P1,3,A30,15163,Small black solitary bee,Potentilla pulcherrima,,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,,
7/6/2016,Gothic Town,ASM,P7,1,A31,15164,Other fly,Potentilla pulcherrima,,1,,,,,,Cryptochetidae,2016_28,
7/6/2016,Gothic Town,ASM,P7,1,A32,15165,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P1,9,A33,15166,Small black solitary bee,Potentilla pulcherrima,"Hemipteran also in jar, but not on flower",1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,ASM,P1,9,A34,15167,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P1,9,A35,15168,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,ASM,P3,7,A36,15169,Other fly,Potentilla pulcherrima,,1,,,,,,Therevidae,2016_28,
7/6/2016,Gothic Town,ASM,P3,7,A37,15170,Small black solitary bee,Potentilla pulcherrima,prev. Halictus ligatus,1,,,Halictinae,Halictus,virgatellus,Halictus virgatellus,2016_31,
7/6/2016,Gothic Town,ASM,P3,7,A38,15171,Other fly,Potentilla pulcherrima,,1,,,,,,Sciomyzidae,2016_28,
7/6/2016,Gothic Town,ASM,P3,7,A39,15172,Other fly,Potentilla pulcherrima,,1,,,,,,Braconidae,2016_2,
7/6/2016,Gothic Town,ASM,P3,7,A40,15173,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,7,A41,15174,Other fly,Potentilla pulcherrima,,1,,,Eristalinae,Cheilosia,,Cheilosia,,
7/6/2016,Gothic Town,ASM,P3,7,A42,15175,Other fly,Potentilla pulcherrima,,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_52,
7/6/2016,Gothic Town,ASM,P3,7,A43,15176,Other fly,Potentilla pulcherrima,Larger fly in vial,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,ASM,P3,7,A44,15177,Wasps,Potentilla pulcherrima,,1,,,,,,Eurytomidae,2016_4,
7/6/2016,Gothic Town,ASM,P3,7,A45,15178,Small black solitary bee,Potentilla pulcherrima,,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,ASM,P3,7,A46,15179,Other fly,Potentilla pulcherrima,,1,,,,,,Empididae,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,4,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P5,4,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,8,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,LAT,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,DRM,P7,9,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,DRM,P7,7,,,Bombus kirbiellus,Hydrophyllum fendleri,,1,,,Apinae,Bombus,kirbiellus,Bombus kirbiellus,,
7/6/2016,Gothic Town,DRM,P1,6,,,Other fly,Ligusticum porteri,,1,,,,,,,,
7/6/2016,Gothic Town,DRM,P1,1,,,Other fly,Ligusticum porteri,,1,,,,,,,,
7/6/2016,Gothic Town,DRM,P1,1,,,Other fly,Ligusticum porteri,,1,,,,,,,,
7/6/2016,Gothic Town,DRM,P5,7,,,Unknown,Delphinium barbeyi,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,9,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,9,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P5,3,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P5,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P1,5,,,Small black solitary bee,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P7,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P7,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P7,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,3,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,10,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P3,10,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,BB,P1,8,,,Small black solitary bee,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P5,10,,,Hemipteran,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,1,,,Other fly,Linum lewisii,"Spider spinning web on L. lewisii flower, so flies tended to avoid that flower",1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,10,,,Small black solitary bee,Potentilla pulcherrima,Pollen loads on legs,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,10,,,Small black solitary bee,Potentilla pulcherrima,Same bee as above,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,10,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,4,,,Other fly,Linum lewisii,Unclear what it was,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,4,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,6,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,6,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,6,,,Other fly,Ligusticum porteri,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,6,,,Other fly,Ligusticum porteri,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P1,3,,,Small metallic solitary bee,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,1,,,Small metallic solitary bee,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,1,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,1,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P7,1,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P1,9,,,Small metallic solitary bee,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,7,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,7,,,Other fly,Linum lewisii,,1,,,,,,,,
7/6/2016,Gothic Town,ASM,P3,7,,,Other fly,Potentilla pulcherrima,,1,,,,,,,,
7/7/2016,Virginia Basin,LAT,P5,9,L1,15190,Other fly,Draba aurea,,1,,,,,,,2016_73,
7/7/2016,Virginia Basin,LAT,P1,7,L2,15191,Ants,Valeriana edulis,,1,,,,,,Prenolepis,2016_01,
7/7/2016,Virginia Basin,LAT,P1,7,L2,15192,Ants,Valeriana edulis,,1,,,,,,Prenolepis,2016_01,
7/7/2016,Virginia Basin,LAT,P1,7,L2,15193,Ants,Valeriana edulis,,1,,,,,,Prenolepis,2016_01,
7/7/2016,Virginia Basin,LAT,P1,7,L2,15194,Ants,Valeriana edulis,,1,,,,,,Prenolepis,2016_01,
7/7/2016,Virginia Basin,LAT,P1,10,L3,15195,Other fly,Draba aurea,,1,,,Eristalinae,Cheilosia,,Cheilosia,,
7/7/2016,Virginia Basin,LAT,P7,6,L4,15196,Other fly,Pseudocymopterus montanus,,1,,,Phaoniinae,Phaonia,,Phaonia,2016_71,
7/7/2016,Virginia Basin,LAT,P7,6,L5,15197,Other fly,Pseudocymopterus montanus,,1,,,,,,Empididae,,
7/7/2016,Virginia Basin,LAT,P7,6,L6,15198,Other fly,Potentilla pulcherrima,,1,,,Phaoniinae,Phaonia,,Phaonia,2016_71,
7/7/2016,Virginia Basin,LAT,P7,6,L7,15199,Other fly,Pseudocymopterus montanus,,1,,,Phaoniinae,Phaonia,,Phaonia,,
7/7/2016,Virginia Basin,LAT,P7,6,L8,15200,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/7/2016,Virginia Basin,LAT,P7,1,L9,15201,Small black solitary bee,Fragaria virginiana,,1,,,Panurginae,Panurginus,ineptus,Panurginus ineptus,,
7/7/2016,Virginia Basin,LAT,P1,8,L10,15202,Ants,Draba aurea,,1,,,,,,Prenolepis,2016_01,
7/7/2016,Virginia Basin,LAT,P1,8,L11,15203,Other fly,Ligusticum porteri,,1,,,Eristalinae,Hiatomyia,,Hiatomyia,,
7/7/2016,Virginia Basin,LAT,P1,8,L11,15204,Other fly,Ligusticum porteri,,1,,,Eristalinae,Hiatomyia,,Hiatomyia,,
7/7/2016,Virginia Basin,LAT,P1,8,L11,15205,Hemipteran,Ligusticum porteri,Accidental catch with flies,1,,,,,,Hemiptera,2016_25,
7/7/2016,Virginia Basin,RK,P1,9,R1,15206,Other fly,Ligusticum porteri,,1,,,Azeliinae,Thricops,septentrionalis,Thricops septentrionalis,,
